date,cash,stock_value,total_value,positions
20240815,113.99999999988358,993139.0,993252.9999999999,1
20240816,113.99999999988358,981344.0,981457.9999999999,1
20240819,113.99999999988358,1000216.0,1000329.9999999999,1
20240820,113.99999999988358,1004934.0000000001,1005048.0,1
20240821,113.99999999988358,981344.0,981457.9999999999,1
20240822,113.99999999988358,945959.0,946072.9999999999,1
20240823,113.99999999988358,948317.9999999999,948431.9999999998,1
20240826,113.99999999988358,948317.9999999999,948431.9999999998,1
20240827,113.99999999988358,953036.0,953149.9999999999,1
20240828,113.99999999988358,964831.0,964944.9999999999,1
20240829,113.99999999988358,995498.0000000001,995612.0,1
20240830,113.99999999988358,1016729.0000000001,1016843.0,1
20240902,113.99999999988358,981344.0,981457.9999999999,1
20240903,113.99999999988358,986061.9999999999,986175.9999999998,1
20240904,113.99999999988358,974267.0,974380.9999999999,1
20240905,113.99999999988358,997857.0000000001,997971.0,1
20240906,113.99999999988358,986061.9999999999,986175.9999999998,1
20240909,113.99999999988358,988420.9999999999,988534.9999999998,1
20240910,113.99999999988358,995497.9999999999,995611.9999999998,1
20240911,113.99999999988358,988421.0000000001,988535.0,1
20240912,113.99999999988358,981344.0,981457.9999999999,1
20240913,113.99999999988358,964831.0,964944.9999999999,1
20240918,113.99999999988358,953036.0,953149.9999999999,1
20240919,113.99999999988358,983703.0,983816.9999999999,1
20240920,113.99999999988358,983703.0,983816.9999999999,1
20240923,113.99999999988358,981344.0,981457.9999999999,1
20240924,113.99999999988358,1012011.0,1012124.9999999999,1
20240925,113.99999999988358,1021447.0,1021560.9999999999,1
20240926,113.99999999988358,1054473.0,1054587.0,1
20240927,113.99999999988358,1127602.0,1127716.0,1
20240930,113.99999999988358,1304527.0,1304641.0,1
20241008,113.99999999988358,1472016.0,1472130.0,1
20241009,1245666.0,0.0,1245666.0,0
20241010,1245666.0,0.0,1245666.0,0
20241011,1245666.0,0.0,1245666.0,0
20241014,1245666.0,0.0,1245666.0,0
20241015,1245666.0,0.0,1245666.0,0
20241016,1245666.0,0.0,1245666.0,0
20241017,1245666.0,0.0,1245666.0,0
20241018,1245666.0,0.0,1245666.0,0
20241021,1245666.0,0.0,1245666.0,0
20241022,1245666.0,0.0,1245666.0,0
20241023,1245666.0,0.0,1245666.0,0
20241024,1245666.0,0.0,1245666.0,0
20241025,1245666.0,0.0,1245666.0,0
20241028,1245666.0,0.0,1245666.0,0
20241029,1245666.0,0.0,1245666.0,0
20241030,1245666.0,0.0,1245666.0,0
20241031,1245666.0,0.0,1245666.0,0
20241101,1245666.0,0.0,1245666.0,0
20241104,450.0,1245216.0,1245666.0,1
20241105,450.0,1284128.9999999998,1284578.9999999998,1
20241106,450.0,1394001.0000000002,1394451.0000000002,1
20241107,450.0,1380267.0,1380717.0,1
20241108,450.0,1375689.0000000002,1376139.0000000002,1
20241111,450.0,1428336.0,1428786.0,1
20241112,450.0,1361955.0,1362405.0,1
20241113,450.0,1394001.0,1394451.0,1
20241114,450.0,1343643.0,1344093.0,1
20241115,450.0,1334487.0,1334937.0,1
20241118,1227353.9999999998,0.0,1227353.9999999998,0
20241119,1227353.9999999998,0.0,1227353.9999999998,0
20241120,1227353.9999999998,0.0,1227353.9999999998,0
20241121,1227353.9999999998,0.0,1227353.9999999998,0
20241122,1227353.9999999998,0.0,1227353.9999999998,0
20241125,1227353.9999999998,0.0,1227353.9999999998,0
20241126,1227353.9999999998,0.0,1227353.9999999998,0
20241127,1227353.9999999998,0.0,1227353.9999999998,0
20241128,1227353.9999999998,0.0,1227353.9999999998,0
20241129,1227353.9999999998,0.0,1227353.9999999998,0
20241202,581.9999999997672,1226772.0,1227353.9999999998,1
20241203,581.9999999997672,1241508.0,1242089.9999999998,1
20241204,581.9999999997672,1154934.0,1155515.9999999998,1
20241205,581.9999999997672,1208352.0,1208933.9999999998,1
20241206,581.9999999997672,1270980.0,1271561.9999999998,1
20241209,581.9999999997672,1234140.0,1234721.9999999998,1
20241210,581.9999999997672,1243350.0,1243931.9999999998,1
20241211,581.9999999997672,1235982.0,1236563.9999999998,1
20241212,581.9999999997672,1235982.0,1236563.9999999998,1
20241213,581.9999999997672,1237824.0000000002,1238406.0,1
20241216,581.9999999997672,1188090.0,1188671.9999999998,1
